
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007260                       # Number of seconds simulated (Second)
simTicks                                   7260399000                       # Number of ticks simulated (Tick)
finalTick                                  7260399000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     46.61                       # Real time elapsed on the host (Second)
hostTickRate                                155757695                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8527604                       # Number of bytes of host memory used (Byte)
simInsts                                      6612408                       # Number of instructions simulated (Count)
simOps                                       11577005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141856                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     248361                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7260400                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.097996                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.910750                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11729116                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    78939                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19381489                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  19622                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               230964                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            407585                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5034                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7150406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.710544                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.404593                       # Number of insts issued each cycle (Count)
system.cpu.icache.demandAvgMissLatency::cpu.inst 160906.073889                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 160906.073889                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 160906.073889                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 160906.073889                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs         1139                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs           13                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs      87.615385                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_wbuffers          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.demandMshrHits::cpu.inst          273                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           273                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          273                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          273                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst         1324                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total         1324                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst         1324                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total         1324                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst    211853000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total    211853000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst    211853000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total    211853000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.001762                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.001762                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.001762                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.001762                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 160009.818731                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 160009.818731                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 160009.818731                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 160009.818731                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                   1068                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst       750004                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total          750004                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst         1597                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total          1597                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst    256967000                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total    256967000                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst       751601                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total       751601                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.002125                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.002125                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 160906.073889                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 160906.073889                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst          273                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total          273                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst         1324                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total         1324                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst    211853000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total    211853000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.001762                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.001762                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 160009.818731                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 160009.818731                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED   7260399000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           254.568322                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs               751328                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs               1324                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs             567.468278                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick              209000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   254.568322                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.994408                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.994408                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          256                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0           59                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::1          119                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::3           78                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses            1504526                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses           1504526                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   7260399000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.dispatchStatus::running        6709450     93.83%     93.83% # Number of cycles dispatch is running (Cycle)
system.cpu.iew.dispatchStatus::blocked         387431      5.42%     99.25% # Number of cycles dispatch is blocked (Cycle)
system.cpu.iew.dispatchStatus::squashing        14595      0.20%     99.46% # Number of cycles dispatch is squashing (Cycle)
system.cpu.iew.dispatchStatus::unblocking        38930      0.54%    100.00% # Number of cycles dispatch is unblocking (Cycle)
system.cpu.iew.dispatchedInsts               11808055                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                29415                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                  1882916                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                  171812                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                 26314                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                     25061                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                     1938                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents             57                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect          13061                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect         1559                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                14620                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                 11678822                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                11678505                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                   7513565                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                  10618609                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        1.608521                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.707585                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock          16000                       # Clock period in ticks (Tick)
system.cpu.lsq0.forwLoads                       18895                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                   43761                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                   24                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                  57                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                   9383                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                    3                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                 809244                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples            1839155                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::mean             41.234380                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::stdev            26.096942                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::0-9                 385194     20.94%     20.94% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::10-19                37970      2.06%     23.01% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::20-29               244296     13.28%     36.29% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::30-39               156507      8.51%     44.80% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::40-49               285453     15.52%     60.32% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::50-59               215909     11.74%     72.06% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::60-69               242092     13.16%     85.23% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::70-79               187765     10.21%     95.43% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::80-89                52543      2.86%     98.29% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::90-99                25090      1.36%     99.66% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::100-109               3483      0.19%     99.84% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::110-119                691      0.04%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::120-129                163      0.01%     99.89% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::130-139                 17      0.00%     99.89% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::160-169                  2      0.00%     99.89% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::170-179                 96      0.01%     99.90% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::180-189                484      0.03%     99.92% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::190-199               1104      0.06%     99.98% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::200-209                 98      0.01%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::210-219                113      0.01%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::220-229                 23      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::230-239                  5      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::240-249                  3      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::250-259                  5      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::260-269                  2      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::270-279                  5      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::280-289                  4      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::overflows               38      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::max_value              481                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::total              1839155                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.addedLoadsAndStores           2054728                       # Number of loads and stores written to the Load Store Queue (Count)
system.cpu.lsq0.lqAvgOccupancy                   0.57                       # Average LQ Occupancy (UsedSlots/TotalSlots) (Ratio)
system.cpu.lsq0.sqAvgOccupancy                   0.07                       # Average SQ Occupancy (UsedSlots/TotalSlots) (Ratio)
system.cpu.mmu.dtb.rdAccesses                 1864266                       # TLB accesses on read requests (Count)
system.cpu.mmu.dtb.wrAccesses                  165346                       # TLB accesses on write requests (Count)
system.cpu.mmu.dtb.exAccesses                       0                       # TLB accesses on execute (instr) requests (Count)
system.cpu.mmu.dtb.rdMisses                       109                       # TLB misses on read requests (Count)
system.cpu.mmu.dtb.wrMisses                        68                       # TLB misses on write requests (Count)
system.cpu.mmu.dtb.exMisses                         0                       # TLB misses on execute (instr) requests (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   7260399000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests (Count)
system.cpu.mmu.itb.wrAccesses                       0                       # TLB accesses on write requests (Count)
system.cpu.mmu.itb.exAccesses                  751662                       # TLB accesses on execute (instr) requests (Count)
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests (Count)
system.cpu.mmu.itb.wrMisses                         0                       # TLB misses on write requests (Count)
system.cpu.mmu.itb.exMisses                       129                       # TLB misses on execute (instr) requests (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   7260399000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON   7260399000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.status::Running             1061584     14.85%     14.85% # Number of cycles rename is running (Cycle)
system.cpu.rename.status::Idle                 788936     11.03%     25.88% # Number of cycles rename is idle (Cycle)
system.cpu.rename.status::Squashing             14595      0.20%     26.08% # Number of cycles rename is squashing (Cycle)
system.cpu.rename.status::Blocked             3247454     45.42%     71.50% # Number of cycles rename is blocking (Cycle)
system.cpu.rename.status::Unblocking          2036314     28.48%     99.98% # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.status::SerializeStall         1523      0.02%    100.00% # Number of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.renamedInsts               11874895                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents               1470613                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                 252220                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.SQFullEvents                  10167                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands            24486677                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                    40740524                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                 10234864                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                   5089504                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps              23906730                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                   579828                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                      43                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                  43                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                   5740138                       # count of insts added to the skid buffer (Count)
system.cpu.rename.intReturned                 5257947                       # count of registers freed and written back to integer free list (Count)
system.cpu.rename.fpReturned                  4080547                       # count of registers freed and written back to floating point free list (Count)
system.cpu.rob.reads                         18458624                       # The number of ROB reads (Count)
system.cpu.rob.writes                        23629554                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                  6612408                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                   11577005                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                2001584                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                    25                       # Number of system calls (Count)
system.l2bus.transDist::ReadResp               806799                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty         816966                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict               2027                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq               12605                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp              12605                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq          806799                       # Transaction distribution (Count)
system.l2bus.pktCount_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port         3716                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port      2453984                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                  2457700                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port        84736                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port    104642240                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                 104726976                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.snoops                               101                       # Total snoops (Count)
system.l2bus.snoopTraffic                         704                       # Total snoop traffic (Byte)
system.l2bus.snoopFanout::samples              819505                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::mean               0.000007                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::stdev              0.002706                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::0                    819499    100.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::1                         6      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::2                         0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::max_value                 1                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::total                819505                       # Request fanout histogram (Count)
system.l2bus.power_state.pwrStateResidencyTicks::UNDEFINED   7260399000                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.reqLayer0.occupancy           3272206000                       # Layer occupancy (ticks) (Tick)
system.l2bus.reqLayer0.utilization                0.5                       # Layer utilization (Ratio)
system.l2bus.respLayer0.occupancy             3972999                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer1.occupancy          2454240000                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer1.utilization               0.3                       # Layer utilization (Ratio)
system.l2bus.snoop_filter.totRequests         1638296                       # Total number of requests made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleRequests       818892                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiRequests            2                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2bus.snoop_filter.totSnoops                 4                       # Total number of snoops made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleSnoops            4                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2cache.demandHits::cpu.inst               327                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::cpu.data            815505                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::total               815832                       # number of demand (read+write) hits (Count)
system.l2cache.overallHits::cpu.inst              327                       # number of overall hits (Count)
system.l2cache.overallHits::cpu.data           815505                       # number of overall hits (Count)
system.l2cache.overallHits::total              815832                       # number of overall hits (Count)
system.l2cache.demandMisses::cpu.inst             997                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data            2575                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total               3572                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst            997                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data           2575                       # number of overall misses (Count)
system.l2cache.overallMisses::total              3572                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst    200982000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data    509981000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total     710963000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst    200982000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data    509981000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total    710963000                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst          1324                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data        818080                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total           819404                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst         1324                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data       818080                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total          819404                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.753021                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.003148                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.004359                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.753021                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.003148                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.004359                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 201586.760281                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 198050.873786                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 199037.793953                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 201586.760281                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 198050.873786                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 199037.793953                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_wbuffers            nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.writebacks::writebacks              11                       # number of writebacks (Count)
system.l2cache.writebacks::total                   11                       # number of writebacks (Count)
system.l2cache.demandMshrMisses::cpu.inst          997                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::cpu.data         2575                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::total           3572                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.inst          997                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.data         2575                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::total          3572                       # number of overall MSHR misses (Count)
system.l2cache.demandMshrMissLatency::cpu.inst    181042000                       # number of demand (read+write) MSHR miss ticks (Tick)
